model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance,sub_n
non-monotonic_attraction,bf_00',5.08E-07,6.63E-07,8.91E-08,2.09E-06,50000000,2.00E-08,2.45E-08,5,3153
non-monotonic_attraction,bf_00',5.10E-07,6.00E-07,8.89E-08,1.90E-06,50000000,2.00E-08,2.50E-08,9,2601
non-monotonic_attraction,bf_0u,5.28E-07,6.89E-07,9.26E-08,2.18E-06,50000000,2.00E-08,2.45E-08,5,3153
non-monotonic_attraction,bf_0u,5.30E-07,6.23E-07,9.24E-08,1.97E-06,50000000,2.00E-08,2.50E-08,9,2601
non-monotonic_attraction,bf_00',8.54E-07,1.06E-06,1.32E-07,3.33E-06,30000000,3.33E-08,4.06E-08,5,1872
non-monotonic_attraction,bf_0u,8.88E-07,1.10E-06,1.37E-07,3.46E-06,30000000,3.33E-08,4.06E-08,5,1872
repulsion,bf_00',1.04E-06,1.28E-06,1.83E-07,4.00E-06,10000000,1.00E-07,1.19E-07,2,2926
repulsion,bf_0u,1.14E-06,1.41E-06,2.01E-07,4.38E-06,10000000,1.00E-07,1.19E-07,2,2926
non-monotonic_attraction,bf_00',1.25E-06,1.52E-06,1.98E-07,4.89E-06,20000000,5.00E-08,5.89E-08,2,3756
non-monotonic_attraction,bf_00',1.28E-06,1.57E-06,2.31E-07,5.06E-06,20000000,5.00E-08,6.27E-08,2,3683
non-monotonic_attraction,bf_0u,1.30E-06,1.58E-06,2.06E-07,5.08E-06,20000000,5.00E-08,5.89E-08,2,3756
non-monotonic_attraction,bf_0u,1.33E-06,1.64E-06,2.40E-07,5.26E-06,20000000,5.00E-08,6.27E-08,2,3683
non-monotonic_attraction,bf_00',1.66E-06,1.32E-06,4.80E-07,4.55E-06,30000000,6.67E-08,5.14E-08,2,2926
non-monotonic_attraction,bf_0u,1.73E-06,1.38E-06,4.99E-07,4.73E-06,30000000,6.67E-08,5.14E-08,2,2926
non-monotonic_attraction,bf_00',2.50E-06,2.88E-06,4.57E-07,9.24E-06,10000000,1.00E-07,1.25E-07,2,182
non-monotonic_attraction,bf_00',2.54E-06,3.18E-06,4.74E-07,1.01E-05,10000000,1.00E-07,1.24E-07,5,1351
non-monotonic_attraction,bf_00',2.56E-06,3.14E-06,4.15E-07,9.90E-06,10000000,1.00E-07,1.26E-07,2,2601
non-monotonic_attraction,bf_00',2.57E-06,3.13E-06,4.29E-07,1.01E-05,10000000,1.00E-07,1.23E-07,2,1201
non-monotonic_attraction,bf_0u,2.60E-06,3.00E-06,4.76E-07,9.61E-06,10000000,1.00E-07,1.25E-07,2,182
non-monotonic_attraction,bf_0u,2.64E-06,3.30E-06,4.92E-07,1.05E-05,10000000,1.00E-07,1.24E-07,5,1351
non-monotonic_attraction,bf_0u,2.66E-06,3.26E-06,4.32E-07,1.03E-05,10000000,1.00E-07,1.26E-07,2,2601
non-monotonic_attraction,bf_0u,2.67E-06,3.25E-06,4.45E-07,1.04E-05,10000000,1.00E-07,1.23E-07,2,1201
non-monotonic_attraction,bf_00',3.82E-06,2.35E-06,1.41E-06,8.81E-06,20000000,1.50E-07,9.31E-08,9,1201
non-monotonic_attraction,bf_0u,3.97E-06,2.44E-06,1.47E-06,9.16E-06,20000000,1.50E-07,9.31E-08,9,1201
non-monotonic_attraction,bf_00',5.07E-06,4.12E-06,1.48E-06,1.43E-05,10000000,2.00E-07,1.58E-07,5,1201
non-monotonic_attraction,bf_00',5.14E-06,4.10E-06,1.49E-06,1.45E-05,10000000,2.00E-07,1.54E-07,2,3902
non-monotonic_attraction,bf_0u,5.27E-06,4.28E-06,1.54E-06,1.49E-05,10000000,2.00E-07,1.58E-07,5,1201
non-monotonic_attraction,bf_0u,5.34E-06,4.26E-06,1.55E-06,1.51E-05,10000000,2.00E-07,1.54E-07,2,3902
non-monotonic_attraction,bf_00',1.01E-05,5.31E-06,4.43E-06,2.09E-05,10000000,4.00E-07,2.11E-07,9,3756
non-monotonic_attraction,bf_00',1.02E-05,3.78E-06,5.64E-06,1.79E-05,20000000,4.00E-07,1.45E-07,5,3262
non-monotonic_attraction,bf_0u,1.05E-05,5.52E-06,4.60E-06,2.18E-05,10000000,4.00E-07,2.11E-07,9,3756
non-monotonic_attraction,bf_0u,1.06E-05,3.93E-06,5.87E-06,1.86E-05,20000000,4.00E-07,1.45E-07,5,3262
non-monotonic_attraction,bf_00',1.53E-05,6.49E-06,7.48E-06,2.85E-05,10000000,6.00E-07,2.53E-07,2,3313
non-monotonic_attraction,bf_00',1.53E-05,6.52E-06,7.51E-06,2.87E-05,10000000,6.00E-07,2.55E-07,2,3051
non-monotonic_attraction,bf_0u,1.59E-05,6.74E-06,7.77E-06,2.96E-05,10000000,6.00E-07,2.53E-07,2,3313
non-monotonic_attraction,bf_0u,1.59E-05,6.78E-06,7.80E-06,2.98E-05,10000000,6.00E-07,2.55E-07,2,3051
non-monotonic_attraction,bf_00',2.04E-05,7.58E-06,1.11E-05,3.56E-05,10000000,8.00E-07,2.86E-07,2,1351
repulsion,bf_00',2.11E-05,2.57E-05,3.65E-06,8.47E-05,500000,2.00E-06,2.44E-06,5,3811
non-monotonic_attraction,bf_0u,2.12E-05,7.88E-06,1.16E-05,3.70E-05,10000000,8.00E-07,2.86E-07,2,1351
non-monotonic_attraction,bf_00',2.29E-05,7.63E-06,1.29E-05,3.78E-05,10000000,9.00E-07,3.03E-07,2,2493
