model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance
attraction,bf_0u,11.456127767472186,0.01182787995940368,11.43664804255633,11.475442557874082,10000000,0.9998599,3.849605780905117e-6,2
attraction,bf_u0,0.08728952926304974,9.012075030752101e-5,0.08714260865816534,0.08743820709378097,10000000,0.9998599,3.849605780905117e-6,2
attraction,bf_00',74634.31739810092,1998.8964835213305,71370.63455590667,77995.245183775,10000000,0.9998599,3.849605780905117e-6,2
attraction,bf_0u,11.443402077664082,0.011892406883384516,11.423708058401433,11.463111847371945,10000000,1,6.986053496707386e-8,5
attraction,bf_u0,0.0873866,9.081713787645015e-5,0.08723634675424392,0.08753725102986216,10000000,1,6.986053496707386e-8,5
attraction,bf_00',Inf,128572803918747.1,53251003.12404679,62379719474.96769,10000000,1,6.986053496707386e-8,5
attraction,bf_0u,11.45521298104735,0.011732321533989848,11.435933477841072,11.474652398676074,10000000,1,7.201468202226581e-8,9
attraction,bf_u0,0.0872965,8.940320243952952e-5,0.08714860940933142,0.08744367059651968,10000000,1,7.201468202226581e-8,9
attraction,bf_00',Inf,26210237157368.61,56167485.42966172,49497505220.6902,10000000,1,7.201468202226581e-8,9
attraction,bf_0u,11.480687188012324,0.011627652742936012,11.461663693595879,11.50017134700172,10000000,1,6.950738590166429e-8,14
attraction,bf_u0,0.08710280000000001,8.821342956442748e-5,0.08695522612894047,0.08724736885789026,10000000,1,6.950738590166429e-8,14
attraction,bf_00',Inf,344870366180290.25,48281461.32264019,48063470498.73397,10000000,1,6.950738590166429e-8,14
