sub_n,distance,model,obs,pred,ppp
22,2,attraction,3.9188848322310776,4.997288945683736,0.6285257051410282
31,2,attraction,19.602028639713946,4.9447966857132055,0.015843168633726746
42,2,attraction,3.970025968185031,4.979391768751049,0.6165233046609322
53,2,attraction,4.783654676104217,5.004538596535682,0.5289457891578315
66,2,attraction,5.374275492871483,5.009707774246063,0.4721144228845769
71,2,attraction,5.101458890984937,4.987585438780723,0.4960792158431686
82,2,attraction,4.502824824154707,5.017060642340117,0.5638127625525104
93,2,attraction,5.102103151778885,5.0453879200956715,0.49571914382876575
102,2,attraction,3.9999521558252225,5.012020274619631,0.6152230446089217
111,2,attraction,4.19544037158307,5.016816346283203,0.596379275855171
123,2,attraction,4.141271664716972,4.980554817366738,0.5965793158631726
136,2,attraction,4.20602366896617,5.008630187177388,0.5919783956791358
141,2,attraction,5.284742361647103,5.009964715089616,0.482996599319864
152,2,attraction,4.191325231998768,4.9933633450058394,0.5963992798559712
163,2,attraction,6.090038140213555,5.00510717656151,0.4013402680536107
171,2,attraction,5.556019650295412,5.001827793886773,0.45287057411482295
182,2,attraction,9.00933558847866,4.9913542318215125,0.1617123424684937
191,2,attraction,5.653434722331785,4.988448045515163,0.4535107021404281
201,2,attraction,4.864448506323623,4.9890151812865895,0.5240848169633927
212,2,attraction,5.077929442219937,4.99264273666143,0.5018003600720145
223,2,attraction,4.519500310318226,5.014488700588627,0.5625125025005001
233,2,attraction,6.760279591946637,4.987463455347052,0.32234446889377877
241,2,attraction,5.445841979257603,4.984670503172626,0.4690938187637527
252,2,attraction,7.054895602190953,5.0106936801717765,0.30674134826965394
261,2,attraction,5.752576545595181,4.984564006782097,0.4301660332066413
273,2,attraction,4.429059650833566,4.991969034688888,0.566753350670134
282,2,attraction,4.223541451845414,4.989484109702111,0.5901780356071215
292,2,attraction,4.114524901973708,4.980535143485292,0.5956991398279656
301,2,attraction,5.998286837667243,5.001178762768178,0.4128825765153031
312,2,attraction,4.065878270456409,5.009806453126044,0.6069413882776555
323,2,attraction,4.960771801706275,5.014896294239445,0.5191638327665533
336,2,attraction,4.6204183988732845,4.993288363860067,0.5484096819363873
341,2,attraction,4.292212666657503,5.026319894175595,0.5881976395279056
352,2,attraction,6.201865859873669,4.998768677468857,0.3866973394678936
363,2,attraction,4.474794713612168,4.9895107866269175,0.5618523704740949
371,2,attraction,7.215139395238021,4.994496243614369,0.29967993598719744
382,2,attraction,9.490588008064744,5.007641458025571,0.144248849769954
393,2,attraction,6.870468860699041,5.005499475337094,0.31614322864572914
