sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
366\, 1, wb, practice, NA, 999, 999, 0, 1, 124, 186, 115, 116, 105, 89, 3, 4.05235
366\, 1, wb, practice, NA, 999, 999, 0, 1, 124, 186, 115, 116, 105, 89, 1, 2.27317
366\, 1, wb, practice, NA, 999, 999, 0, 2, 155, 69, 93, 71, 126, 120, 2, 3.40001
366\, 1, wb, practice, NA, 999, 999, 0, 2, 155, 69, 93, 71, 126, 120, 3, 1.36053
366\, 1, wb, practice, NA, 999, 999, 0, 3, 137, 74, 136, 121, 195, 126, 1, 1.92238
366\, 1, wb, practice, NA, 999, 999, 0, 3, 137, 74, 136, 121, 195, 126, 3, 1.34096
366\, 1, wb, attraction, a-b-da, 9, 1, 1, 1, 60, 135, 135, 60, 129, 57, 3, 5.03537
366\, 1, wb, attraction, a-b-da, 9, 1, 1, 1, 60, 135, 135, 60, 129, 57, 1, 1.47971
366\, 1, wb, attraction, a-b-da, 5, 1, 1, 2, 132, 58, 135, 60, 60, 135, 1, 2.82601
366\, 1, wb, attraction, a-b-da, 5, 1, 1, 2, 132, 58, 135, 60, 60, 135, 3, 1.71895
366\, 1, wb, attraction, a-b-db, 14, 2, 1, 3, 83, 153, 90, 165, 165, 90, 1, 4.96766
366\, 1, wb, attraction, a-b-db, 14, 2, 1, 3, 83, 153, 90, 165, 165, 90, 2, 1.2069
366\, 1, wb, filler, NA, 999, 999, 1, 4, 166, 95, 156, 194, 187, 78, 3, 2.01161
366\, 1, wb, filler, NA, 999, 999, 1, 4, 166, 95, 156, 194, 187, 78, 2, 0.937697
366\, 1, wb, attraction, a-b-da, 14, 2, 1, 5, 90, 165, 165, 90, 153, 83, 3, 2.68205
366\, 1, wb, attraction, a-b-da, 14, 2, 1, 5, 90, 165, 165, 90, 153, 83, 1, 1.09323
366\, 1, wb, filler, NA, 999, 999, 1, 6, 138, 63, 167, 79, 60, 114, 1, 3.01482
366\, 1, wb, filler, NA, 999, 999, 1, 6, 138, 63, 167, 79, 60, 114, 2, 1.23641
366\, 1, wb, filler, NA, 999, 999, 1, 7, 155, 182, 108, 145, 62, 179, 3, 4.18462
366\, 1, wb, filler, NA, 999, 999, 1, 7, 155, 182, 108, 145, 62, 179, 1, 1.14341
366\, 1, wb, catch, NA, 999, 999, 1, 8, 105, 150, 102, 93, 169, 146, 2, 1.73494
366\, 1, wb, catch, NA, 999, 999, 1, 8, 105, 150, 102, 93, 169, 146, 3, 0.880312
366\, 1, wb, filler, NA, 999, 999, 1, 9, 105, 84, 161, 88, 179, 103, 1, 1.28269
366\, 1, wb, filler, NA, 999, 999, 1, 9, 105, 84, 161, 88, 179, 103, 3, 0.814319
366\, 1, wb, attraction, a-b-da, 9, 3, 1, 10, 120, 195, 186, 114, 195, 120, 2, 3.27542
366\, 1, wb, attraction, a-b-da, 9, 3, 1, 10, 120, 195, 186, 114, 195, 120, 1, 0.526221
366\, 1, wb, attraction, a-b-db, 9, 2, 1, 11, 90, 165, 165, 90, 86, 157, 2, 3.51072
366\, 1, wb, attraction, a-b-db, 9, 2, 1, 11, 90, 165, 165, 90, 86, 157, 1, 0.648138
366\, 1, wb, attraction, a-b-da, 5, 3, 1, 12, 190, 117, 120, 195, 195, 120, 1, 4.58799
366\, 1, wb, attraction, a-b-da, 5, 3, 1, 12, 190, 117, 120, 195, 195, 120, 2, 0.81859
