sub_n, computer_n, bw_cond, effect, set, distance, diag, block_n, trial_n, h1, w1, h2, w2, h3, w3, choice, rt 
54, 3, wb, practice, NA, 999, 999, 0, 1, 190, 182, 70, 134, 152, 74, 2, 2.08404
54, 3, wb, practice, NA, 999, 999, 0, 1, 190, 182, 70, 134, 152, 74, 1, 3.93598
54, 3, wb, practice, NA, 999, 999, 0, 2, 58, 124, 125, 133, 144, 79, 1, 3.15534
54, 3, wb, practice, NA, 999, 999, 0, 2, 58, 124, 125, 133, 144, 79, 2, 1.90632
54, 3, wb, practice, NA, 999, 999, 0, 3, 151, 116, 112, 183, 172, 130, 1, 4.06693
54, 3, wb, practice, NA, 999, 999, 0, 3, 151, 116, 112, 183, 172, 130, 3, 3.57452
54, 3, wb, attraction, a-b-db, 14, 3, 1, 1, 195, 120, 111, 181, 120, 195, 2, 23.8726
54, 3, wb, attraction, a-b-db, 14, 3, 1, 1, 195, 120, 111, 181, 120, 195, 3, 4.8619
54, 3, wb, filler, NA, 999, 999, 1, 2, 109, 107, 65, 98, 179, 109, 2, 1.84751
54, 3, wb, filler, NA, 999, 999, 1, 2, 109, 107, 65, 98, 179, 109, 3, 7.42032
54, 3, wb, filler, NA, 999, 999, 1, 3, 153, 151, 125, 81, 146, 96, 2, 1.6313
54, 3, wb, filler, NA, 999, 999, 1, 3, 153, 151, 125, 81, 146, 96, 1, 1.48468
54, 3, wb, attraction, a-b-db, 14, 1, 1, 4, 135, 60, 60, 135, 56, 125, 3, 2.79888
54, 3, wb, attraction, a-b-db, 14, 1, 1, 4, 135, 60, 60, 135, 56, 125, 2, 5.97334
54, 3, wb, attraction, a-b-da, 14, 1, 1, 5, 125, 56, 60, 135, 135, 60, 1, 2.6588
54, 3, wb, attraction, a-b-da, 14, 1, 1, 5, 125, 56, 60, 135, 135, 60, 2, 1.41448
54, 3, wb, attraction, a-b-db, 5, 1, 1, 6, 135, 60, 60, 135, 58, 132, 3, 9.07531
54, 3, wb, attraction, a-b-db, 5, 1, 1, 6, 135, 60, 60, 135, 58, 132, 2, 4.10849
54, 3, wb, attraction, a-b-db, 2, 2, 1, 7, 90, 165, 89, 163, 165, 90, 3, 16.6366
54, 3, wb, attraction, a-b-db, 2, 2, 1, 7, 90, 165, 89, 163, 165, 90, 2, 1.48515
54, 3, wb, catch, NA, 999, 999, 1, 8, 84, 111, 161, 154, 136, 119, 1, 1.02339
54, 3, wb, catch, NA, 999, 999, 1, 8, 84, 111, 161, 154, 136, 119, 2, 0.437021
54, 3, wb, filler, NA, 999, 999, 1, 9, 169, 167, 120, 65, 137, 82, 2, 1.59351
54, 3, wb, filler, NA, 999, 999, 1, 9, 169, 167, 120, 65, 137, 82, 1, 0.872366
54, 3, wb, attraction, a-b-db, 5, 2, 1, 10, 90, 165, 165, 90, 88, 161, 1, 5.46721
54, 3, wb, attraction, a-b-db, 5, 2, 1, 10, 90, 165, 165, 90, 88, 161, 2, 5.07832
54, 3, wb, attraction, a-b-da, 5, 3, 1, 11, 195, 120, 120, 195, 190, 117, 1, 16.4952
54, 3, wb, attraction, a-b-da, 5, 3, 1, 11, 195, 120, 120, 195, 190, 117, 2, 1.2054
54, 3, wb, catch, NA, 999, 999, 1, 12, 135, 180, 112, 143, 122, 73, 3, 0.755048
54, 3, wb, catch, NA, 999, 999, 1, 12, 135, 180, 112, 143, 122, 73, 1, 0.523309
54, 3, wb, attraction, a-b-da, 2, 3, 1, 13, 120, 195, 193, 119, 195, 120, 3, 5.30785
54, 3, wb, attraction, a-b-da, 2, 3, 1, 13, 120, 195, 193, 119, 195, 120, 1, 1.29275
54, 3, wb, filler, NA, 999, 999, 1, 14, 143, 183, 99, 189, 131, 105, 3, 1.21435
54, 3, wb, filler, NA, 999, 999, 1, 14, 143, 183, 99, 189, 131, 105, 1, 1.3006
54, 3, wb, attraction, a-b-da, 2, 2, 1, 15, 90, 165, 165, 90, 163, 89, 3, 5.05408
54, 3, wb, attraction, a-b-da, 2, 2, 1, 15, 90, 165, 165, 90, 163, 89, 1, 16.2018
54, 3, wb, filler, NA, 999, 999, 1, 16, 73, 174, 70, 104, 113, 135, 2, 1.09077
54, 3, wb, filler, NA, 999, 999, 1, 16, 73, 174, 70, 104, 113, 135, 3, 3.90964
54, 3, wb, attraction, a-b-db, 14, 2, 1, 17, 90, 165, 165, 90, 83, 153, 2, 10.1098
54, 3, wb, attraction, a-b-db, 14, 2, 1, 17, 90, 165, 165, 90, 83, 153, 1, 4.90934
54, 3, wb, attraction, a-b-db, 9, 3, 1, 18, 114, 186, 120, 195, 195, 120, 1, 42.861
54, 3, wb, attraction, a-b-db, 9, 3, 1, 18, 114, 186, 120, 195, 195, 120, 2, 1.10088
54, 3, wb, attraction, a-b-da, 2, 1, 1, 19, 60, 135, 134, 59, 135, 60, 1, 16.0465
54, 3, wb, attraction, a-b-da, 2, 1, 1, 19, 60, 135, 134, 59, 135, 60, 2, 2.639
54, 3, wb, attraction, a-b-da, 5, 2, 1, 20, 90, 165, 165, 90, 161, 88, 3, 16.2186
54, 3, wb, attraction, a-b-da, 5, 2, 1, 20, 90, 165, 165, 90, 161, 88, 1, 2.77216
54, 3, wb, filler, NA, 999, 999, 1, 21, 159, 135, 74, 140, 98, 118, 2, 4.17051
54, 3, wb, filler, NA, 999, 999, 1, 21, 159, 135, 74, 140, 98, 118, 1, 4.56193
54, 3, wb, filler, NA, 999, 999, 1, 22, 57, 80, 95, 80, 102, 100, 1, 3.3677
54, 3, wb, filler, NA, 999, 999, 1, 22, 57, 80, 95, 80, 102, 100, 3, 0.839384
54, 3, wb, attraction, a-b-db, 9, 1, 1, 23, 60, 135, 57, 129, 135, 60, 2, 16.1717
54, 3, wb, attraction, a-b-db, 9, 1, 1, 23, 60, 135, 57, 129, 135, 60, 3, 10.6633
54, 3, wb, attraction, a-b-db, 2, 1, 1, 24, 60, 135, 59, 134, 135, 60, 1, 28.9912
54, 3, wb, attraction, a-b-db, 2, 1, 1, 24, 60, 135, 59, 134, 135, 60, 3, 21.1421
54, 3, wb, attraction, a-b-da, 14, 3, 1, 25, 195, 120, 120, 195, 181, 111, 3, 14.0002
54, 3, wb, attraction, a-b-da, 14, 3, 1, 25, 195, 120, 120, 195, 181, 111, 2, 0.49911
54, 3, wb, catch, NA, 999, 999, 1, 26, 163, 92, 74, 121, 171, 144, 2, 1.12484
54, 3, wb, catch, NA, 999, 999, 1, 26, 163, 92, 74, 121, 171, 144, 3, 0.958543
54, 3, wb, attraction, a-b-da, 5, 1, 1, 27, 60, 135, 132, 58, 135, 60, 1, 5.83755
54, 3, wb, attraction, a-b-da, 5, 1, 1, 27, 60, 135, 132, 58, 135, 60, 2, 7.6416
54, 3, wb, attraction, a-b-db, 9, 2, 1, 28, 86, 157, 165, 90, 90, 165, 1, 2.81187
54, 3, wb, attraction, a-b-db, 9, 2, 1, 28, 86, 157, 165, 90, 90, 165, 3, 0.729502
54, 3, wb, attraction, a-b-da, 14, 2, 1, 29, 90, 165, 165, 90, 153, 83, 3, 4.53799
54, 3, wb, attraction, a-b-da, 14, 2, 1, 29, 90, 165, 165, 90, 153, 83, 1, 4.65062
54, 3, wb, filler, NA, 999, 999, 1, 30, 195, 183, 153, 81, 186, 113, 2, 1.39694
54, 3, wb, filler, NA, 999, 999, 1, 30, 195, 183, 153, 81, 186, 113, 1, 0.635862
54, 3, wb, attraction, a-b-da, 9, 1, 1, 31, 60, 135, 135, 60, 129, 57, 3, 6.34435
54, 3, wb, attraction, a-b-da, 9, 1, 1, 31, 60, 135, 135, 60, 129, 57, 1, 0.471608
54, 3, wb, filler, NA, 999, 999, 1, 32, 193, 109, 158, 108, 172, 146, 2, 3.0667
54, 3, wb, filler, NA, 999, 999, 1, 32, 193, 109, 158, 108, 172, 146, 3, 0.39035
54, 3, wb, attraction, a-b-db, 2, 3, 1, 33, 120, 195, 195, 120, 119, 193, 1, 10.5962
54, 3, wb, attraction, a-b-db, 2, 3, 1, 33, 120, 195, 195, 120, 119, 193, 2, 0.496171
54, 3, wb, filler, NA, 999, 999, 1, 34, 117, 137, 159, 168, 143, 166, 1, 0.882134
54, 3, wb, filler, NA, 999, 999, 1, 34, 117, 137, 159, 168, 143, 166, 2, 1.38184
54, 3, wb, attraction, a-b-da, 9, 3, 1, 35, 195, 120, 120, 195, 186, 114, 3, 3.29989
54, 3, wb, attraction, a-b-da, 9, 3, 1, 35, 195, 120, 120, 195, 186, 114, 2, 3.91819
54, 3, wb, attraction, a-b-da, 9, 2, 1, 36, 165, 90, 90, 165, 157, 86, 3, 1.47032
54, 3, wb, attraction, a-b-da, 9, 2, 1, 36, 165, 90, 90, 165, 157, 86, 2, 4.08265
54, 3, wb, attraction, a-b-db, 5, 3, 1, 37, 120, 195, 195, 120, 117, 190, 3, 3.34777
54, 3, wb, attraction, a-b-db, 5, 3, 1, 37, 120, 195, 195, 120, 117, 190, 1, 7.05993
54, 3, wb, attraction, a-b-da, 5, 2, 2, 1, 90, 165, 165, 90, 161, 88, 3, 37.6211
54, 3, wb, attraction, a-b-da, 5, 2, 2, 1, 90, 165, 165, 90, 161, 88, 1, 0.623935
54, 3, wb, filler, NA, 999, 999, 2, 2, 91, 171, 188, 171, 176, 131, 1, 1.2044
54, 3, wb, filler, NA, 999, 999, 2, 2, 91, 171, 188, 171, 176, 131, 2, 0.843335
54, 3, wb, filler, NA, 999, 999, 2, 3, 119, 87, 109, 71, 130, 130, 2, 1.39893
54, 3, wb, filler, NA, 999, 999, 2, 3, 119, 87, 109, 71, 130, 130, 3, 0.877776
54, 3, wb, attraction, a-b-da, 14, 2, 2, 4, 165, 90, 153, 83, 90, 165, 2, 7.29623
54, 3, wb, attraction, a-b-da, 14, 2, 2, 4, 165, 90, 153, 83, 90, 165, 3, 9.20127
54, 3, wb, attraction, a-b-db, 9, 2, 2, 5, 90, 165, 86, 157, 165, 90, 2, 22.4203
54, 3, wb, attraction, a-b-db, 9, 2, 2, 5, 90, 165, 86, 157, 165, 90, 1, 2.14803
54, 3, wb, attraction, a-b-db, 5, 2, 2, 6, 165, 90, 90, 165, 88, 161, 3, 21.9792
54, 3, wb, attraction, a-b-db, 5, 2, 2, 6, 165, 90, 90, 165, 88, 161, 2, 1.78828
54, 3, wb, attraction, a-b-da, 14, 1, 2, 7, 60, 135, 135, 60, 125, 56, 1, 2.37833
54, 3, wb, attraction, a-b-da, 14, 1, 2, 7, 60, 135, 135, 60, 125, 56, 2, 1.01757
54, 3, wb, attraction, a-b-da, 2, 1, 2, 8, 134, 59, 60, 135, 135, 60, 2, 2.14247
54, 3, wb, attraction, a-b-da, 2, 1, 2, 8, 134, 59, 60, 135, 135, 60, 3, 2.23113
54, 3, wb, attraction, a-b-da, 9, 2, 2, 9, 157, 86, 165, 90, 90, 165, 1, 5.68311
54, 3, wb, attraction, a-b-da, 9, 2, 2, 9, 157, 86, 165, 90, 90, 165, 3, 1.18935
54, 3, wb, attraction, a-b-da, 5, 3, 2, 10, 120, 195, 195, 120, 190, 117, 3, 23.4756
54, 3, wb, attraction, a-b-da, 5, 3, 2, 10, 120, 195, 195, 120, 190, 117, 1, 0.552752
54, 3, wb, catch, NA, 999, 999, 2, 11, 114, 141, 178, 137, 100, 95, 3, 1.04862
54, 3, wb, catch, NA, 999, 999, 2, 11, 114, 141, 178, 137, 100, 95, 2, 0.381526
54, 3, wb, attraction, a-b-da, 14, 3, 2, 12, 120, 195, 195, 120, 181, 111, 3, 7.08418
54, 3, wb, attraction, a-b-da, 14, 3, 2, 12, 120, 195, 195, 120, 181, 111, 2, 0.725797
54, 3, wb, attraction, a-b-db, 14, 3, 2, 13, 111, 181, 120, 195, 195, 120, 1, 1.71827
54, 3, wb, attraction, a-b-db, 14, 3, 2, 13, 111, 181, 120, 195, 195, 120, 3, 6.21641
54, 3, wb, attraction, a-b-da, 2, 2, 2, 14, 90, 165, 165, 90, 163, 89, 1, 24.6997
54, 3, wb, attraction, a-b-da, 2, 2, 2, 14, 90, 165, 165, 90, 163, 89, 2, 1.77528
54, 3, wb, attraction, a-b-db, 9, 3, 2, 15, 120, 195, 114, 186, 195, 120, 3, 20.4533
54, 3, wb, attraction, a-b-db, 9, 3, 2, 15, 120, 195, 114, 186, 195, 120, 1, 0.532173
54, 3, wb, attraction, a-b-db, 14, 1, 2, 16, 60, 135, 135, 60, 56, 125, 3, 10.7087
54, 3, wb, attraction, a-b-db, 14, 1, 2, 16, 60, 135, 135, 60, 56, 125, 2, 0.78791
54, 3, wb, attraction, a-b-db, 5, 3, 2, 17, 195, 120, 117, 190, 120, 195, 1, 14.2105
54, 3, wb, attraction, a-b-db, 5, 3, 2, 17, 195, 120, 117, 190, 120, 195, 3, 4.02852
54, 3, wb, filler, NA, 999, 999, 2, 18, 65, 61, 71, 81, 94, 68, 1, 1.71181
54, 3, wb, filler, NA, 999, 999, 2, 18, 65, 61, 71, 81, 94, 68, 3, 1.40196
54, 3, wb, attraction, a-b-db, 14, 2, 2, 19, 83, 153, 165, 90, 90, 165, 1, 1.27945
54, 3, wb, attraction, a-b-db, 14, 2, 2, 19, 83, 153, 165, 90, 90, 165, 3, 4.99516
